player_1_score,player_2_score,player_3_score,player_4_score
36,65,57,117
31,98,120,55
38,73,125,83
30,84,130,65
23,87,55,78
36,64,114,78
33,90,105,143
32,77,49,72
34,70,52,46
34,68,59,68
49,71,121,59
35,65,67,52
37,94,62,63
33,67,74,72
32,96,73,66
31,98,78,52
28,55,75,66
40,79,66,67
42,131,61,80
37,65,89,82
54,71,70,70
36,63,69,80
43,75,56,118
43,57,124,72
52,63,65,73
43,141,56,43
45,106,68,68
42,60,60,64
50,72,130,107
32,76,106,59
43,92,116,58
41,80,105,120
33,105,71,52
60,113,47,120
45,78,54,49
42,72,96,57
37,56,74,75
38,70,121,49
47,123,113,72
38,118,81,82
35,121,42,52
52,130,101,71
49,88,91,69
27,87,70,115
40,69,66,76
43,72,133,54
40,77,103,69
35,77,62,156
62,108,79,113
33,76,56,82
32,79,70,69
58,122,97,49
43,154,64,54
38,53,57,94
29,70,64,56
42,102,50,67
94,79,83,46
37,48,79,52
58,72,50,55
56,65,58,75
33,82,119,67
45,81,80,65
36,82,113,73
37,105,87,61
42,52,59,57
50,63,65,57
38,109,74,71
46,57,58,56
32,70,90,70
68,56,110,124
60,72,73,50
41,82,78,41
50,73,40,70
32,66,84,63
28,76,79,49
29,94,60,60
47,118,90,71
43,62,63,65
41,138,107,125
43,59,80,68
53,106,59,44
52,73,63,75
65,73,70,54
34,65,53,49
35,129,78,45
30,146,70,81
50,122,55,75
41,80,69,46
39,67,87,62
47,88,62,126
26,78,77,68
39,141,70,97
50,225,64,69
43,81,56,86
46,44,64,55
30,85,63,53
40,97,83,86
32,102,55,62
38,63,60,72
36,133,107,65
47,115,78,80
44,71,65,52
39,84,119,43
39,78,50,57
27,107,53,96
48,168,71,81
30,95,63,73
36,77,61,68
34,74,83,67
27,86,60,61
36,60,67,62
22,73,55,68
47,113,53,73
33,118,88,112
42,77,60,72
62,64,40,128
41,136,68,58
27,64,143,109
21,92,85,65
32,68,68,55
25,71,75,175
31,67,85,80
44,112,74,46
37,182,55,120
37,123,68,137
35,106,79,57
50,80,69,67
45,121,67,76
29,97,85,84
51,78,59,138
29,62,112,83
25,122,56,92
41,71,70,110
37,81,107,52
54,73,66,63
39,81,55,86
40,66,88,46
40,130,78,74
26,73,78,42
54,96,79,65
49,64,73,64
38,55,58,60
43,185,85,121
49,92,126,55
55,89,57,57
52,85,110,53
52,94,130,125
42,85,52,48
27,97,65,71
41,117,67,100
45,66,201,66
33,86,93,70
32,129,66,53
41,75,67,142
35,125,61,84
49,54,58,90
30,58,62,54
43,144,57,57
35,79,75,92
41,111,59,71
50,52,47,71
29,158,108,70
41,61,76,100
46,69,149,62
49,61,61,62
39,64,69,83
36,74,101,72
46,57,65,72
32,77,56,62
37,75,138,48
34,60,58,121
30,93,44,53
46,82,101,51
29,75,57,61
45,48,134,85
43,72,77,50
42,58,166,105
43,102,87,66
26,75,78,54
38,105,64,52
32,76,69,117
29,85,124,128
32,75,65,90
40,98,57,65
37,60,66,84
38,64,61,63
32,96,62,59
40,70,58,41
48,65,68,67
33,92,73,68
38,114,84,111
63,168,137,52
25,122,75,75
36,99,78,58
31,164,51,61
28,69,53,57
36,81,67,43
45,60,70,59
45,65,60,52
26,124,46,77
